mir,sapiens,denisovan,altai,vindja,chag,DiffSapDen,DiffSapVin,DiffSapAlt,DiffDenVin,DiffDenAlt,DiffAltVin,DiffSapCha,DiffVinCha,DiffDenCha,DiffAltCha
miR-4533,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0
miR-3120-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-1231,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6715b-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-548o-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4761-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-320d,3,3,3,4,2,0,-1,0,-1,0,-1,1,2,1,1
miR-4510,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-3942-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-133a-3p,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
miR-885-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-181a-2-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-616-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4684-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-452-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-371b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-15b-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-549a-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-33b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4745-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4439,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1255b-2-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-6841-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-30d-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6500-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-548bb-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4507,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-20a-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-647,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
miR-371a-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-192-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-539-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-3622a-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-7161-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1914-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5007-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6833-3p,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
miR-139-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4277,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-1226-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-342-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4740-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4433b-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4762-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6775-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-548ao-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6127,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-3137,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-520d-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-8084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1245a,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-6735-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-544a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6825-5p,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4757-5p,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-6796-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-548a-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-1203,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-504-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6730-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-1288-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4704-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-518d-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6834-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-339-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3121-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-19a-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-1-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-218-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-7843-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3135b,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-3161,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-6516-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-135b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5688,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-22-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-10398-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-4482-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5007-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-6773-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-4503,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-12125,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4747-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-3680-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-519b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3688-3p,8,7,7,7,7,1,1,1,0,0,0,1,0,0,0
let-7c-3p,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
miR-1285-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1294,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-210-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-1268b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1247-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3935,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
